40	35	8	44	31	[3, 1]
77	25	8	23	6	[3, 1]
40	20	10	61	44	[63, 1]
25	35	10	3	1	[3, 1]
51	0	3916	23	22	[3, 1]
3	45	1365	3	1	[3, 1]
13	0	686	6	1	[9, 7]
4	5	1301	63	20	[3, 1]
77	0	1516	27	10	[3, 1]
25	25	749	60	11	[63, 1]
13	45	295	14	1	[3, 1]
25	10	1035	63	16	[3, 1]
4	0	854	24	5	[63, 1]
4	25	2049	2	1	[3, 1]
55	25	1308	47	15	[3, 1]
3	10	2113	31	16	[9, 7]
12	5	951	56	13	[3, 1]
51	20	1082	53	14	[3, 1]
51	30	2088	51	26	[3, 1]
13	35	3156	61	47	[63, 1]
47	5	3497	41	35	[3, 1]
73	0	1907	58	27	[3, 1]
60	10	2632	14	9	[3, 1]
12	15	3639	9	8	[3, 1]
55	0	2736	3	2	[3, 1]
12	30	1980	60	29	[63, 1]
55	10	3438	56	47	[3, 1]
8	25	4037	63	62	[3, 1]
6	45	2411	17	10	[3, 1]
77	5	25	1	0	[63, 1]
38	30	3039	31	23	[9, 7]
73	25	3719	54	49	[9, 7]
18	5	214	19	1	[9, 7]
1	35	2859	53	37	[3, 1]
11	15	3624	26	23	[3, 1]
21	40	1964	48	23	[63, 1]
75	20	118	35	1	[3, 1]
50	35	2257	49	27	[63, 1]
19	25	3472	46	39	[3, 1]
29	20	2801	19	13	[9, 7]
57	15	579	57	8	[3, 1]
70	10	466	44	5	[3, 1]
47	40	2639	45	29	[3, 1]
39	30	2216	61	33	[63, 1]
70	5	658	56	9	[3, 1]
74	40	1281	16	5	[3, 1]
65	25	1510	19	7	[9, 7]
46	10	577	57	8	[3, 1]
18	15	698	47	8	[3, 1]
14	35	76	54	1	[9, 7]
2	15	3412	6	5	[9, 7]
16	0	1125	51	14	[3, 1]
34	30	3274	5	4	[3, 1]
30	25	356	23	2	[3, 1]
59	20	3548	15	13	[3, 1]
35	10	325	63	5	[3, 1]
46	40	1437	57	20	[3, 1]
62	20	3198	41	32	[3, 1]
7	40	1707	12	5	[63, 1]
67	15	2850	23	16	[3, 1]
23	15	663	37	6	[63, 1]
57	30	1367	3	1	[3, 1]
61	30	3467	13	11	[63, 1]
76	35	242	17	1	[3, 1]
71	0	848	29	6	[3, 1]
28	20	754	38	7	[3, 1]
6	5	2050	2	1	[3, 1]
23	45	3744	35	32	[3, 1]
67	25	2507	49	30	[63, 1]
20	10	711	23	4	[3, 1]
5	30	3920	47	45	[3, 1]
33	15	1449	48	17	[63, 1]
26	15	1848	51	23	[3, 1]
27	30	41	63	1	[3, 1]
31	35	41	63	1	[3, 1]
74	0	487	42	5	[9, 7]
9	5	3141	30	23	[9, 7]
58	20	834	54	11	[9, 7]
23	25	4070	1	1	[63, 1]
10	25	1688	17	7	[3, 1]
14	10	3256	39	31	[3, 1]
31	45	389	21	2	[3, 1]
47	25	2136	23	12	[3, 1]
11	25	2516	57	35	[3, 1]
22	15	1525	43	16	[9, 7]
16	30	532	54	7	[9, 7]
53	20	3084	61	46	[63, 1]
76	25	3215	51	40	[3, 1]
69	10	3325	53	43	[3, 1]
61	25	1984	33	16	[3, 1]
74	10	2071	63	32	[3, 1]
35	35	1473	25	9	[63, 1]
27	20	2315	23	13	[3, 1]
15	5	3412	6	5	[9, 7]
42	5	381	43	4	[9, 7]
33	20	398	41	4	[3, 1]
1	15	2731	3	2	[3, 1]
36	45	2566	59	37	[3, 1]
18	25	4073	1	1	[63, 1]
31	40	1708	12	5	[63, 1]
28	40	20	1	0	[63, 1]
30	30	911	9	2	[3, 1]
37	25	516	8	1	[3, 1]
52	5	2478	38	23	[3, 1]
24	30	3269	59	47	[3, 1]
50	25	483	17	2	[3, 1]
15	20	912	9	2	[3, 1]
77	45	579	57	8	[3, 1]
70	30	3013	53	39	[3, 1]
40	15	2166	53	28	[3, 1]
62	35	3201	32	25	[3, 1]
2	10	1361	3	1	[3, 1]
53	25	3003	15	11	[3, 1]
19	45	853	24	5	[63, 1]
53	0	3900	21	20	[3, 1]
20	30	2226	46	25	[3, 1]
31	10	7	1	0	[63, 1]
8	35	2080	63	32	[3, 1]
54	10	1106	63	17	[3, 1]
56	25	1064	50	13	[3, 1]
39	25	2334	58	33	[3, 1]
44	20	1689	63	26	[3, 1]
5	15	3477	53	45	[3, 1]
69	15	2950	25	18	[63, 1]
22	25	2298	41	23	[3, 1]
0	10	1365	3	1	[3, 1]
63	25	4013	49	48	[63, 1]
65	35	789	26	5	[3, 1]
11	0	199	41	2	[3, 1]
14	20	253	49	3	[63, 1]
0	35	683	6	1	[9, 7]
32	5	3594	49	43	[63, 1]
62	40	3031	50	37	[3, 1]
44	10	3649	55	49	[9, 7]
56	45	1264	55	17	[9, 7]
45	30	3241	24	19	[63, 1]
36	15	3450	19	16	[9, 7]
0	0	3413	6	5	[9, 7]
44	45	2060	2	1	[3, 1]
15	35	1762	58	25	[3, 1]
17	25	2167	17	9	[3, 1]
41	25	1148	25	7	[63, 1]
72	0	1256	62	19	[3, 1]
25	40	458	9	1	[3, 1]
23	40	229	18	1	[9, 7]
15	30	2484	61	37	[63, 1]
4	45	2066	63	32	[3, 1]
68	10	1353	61	20	[63, 1]
68	20	1502	30	11	[9, 7]
49	25	306	40	3	[3, 1]
41	0	1908	58	27	[3, 1]
37	0	2485	61	37	[63, 1]
39	35	2604	11	7	[3, 1]
66	15	703	35	6	[3, 1]
62	25	1747	61	26	[63, 1]
32	25	3863	35	33	[3, 1]
47	35	2003	45	22	[3, 1]
17	10	777	58	11	[3, 1]
38	25	3929	49	47	[63, 1]
60	25	3796	41	38	[3, 1]
32	45	563	51	7	[3, 1]
66	20	633	58	9	[3, 1]
30	35	71	58	1	[3, 1]
40	40	805	56	11	[3, 1]
69	25	1017	4	1	[3, 1]
22	45	8	1	0	[63, 1]
33	25	779	21	4	[3, 1]
68	15	3568	31	27	[9, 7]
16	25	1447	17	6	[3, 1]
72	10	4083	1	1	[63, 1]
43	35	3468	13	11	[63, 1]
50	20	3547	52	45	[3, 1]
6	0	1539	8	3	[3, 1]
43	40	3714	43	39	[9, 7]
2	45	0	0	0	[0, 0]
6	10	3968	32	31	[3, 1]
42	35	1621	48	19	[63, 1]
40	30	331	62	5	[3, 1]
61	5	531	54	7	[9, 7]
9	20	2572	43	27	[9, 7]
34	15	527	31	4	[9, 7]
28	35	1223	57	17	[3, 1]
64	45	2148	61	32	[63, 1]
9	0	3109	54	41	[9, 7]
57	40	3696	41	37	[3, 1]
16	20	168	49	2	[63, 1]
49	5	1401	38	13	[3, 1]
11	30	512	8	1	[3, 1]
44	0	525	39	5	[3, 1]
31	25	2513	44	27	[3, 1]
74	15	1080	53	14	[3, 1]
57	10	164	25	1	[63, 1]
41	15	1558	50	19	[3, 1]
74	5	1532	8	3	[3, 1]
52	10	2551	61	38	[63, 1]
34	0	1415	55	19	[9, 7]
36	0	2745	61	41	[63, 1]
72	15	371	11	1	[3, 1]
27	40	3954	29	28	[3, 1]
18	30	34	63	1	[3, 1]
39	15	2938	46	33	[3, 1]
12	25	2121	56	29	[3, 1]
38	35	3945	27	26	[3, 1]
7	10	2734	3	2	[3, 1]
71	30	1524	43	16	[9, 7]
29	25	3217	14	11	[3, 1]
7	25	3755	12	11	[63, 1]
61	10	2133	48	25	[63, 1]
37	15	3992	39	38	[3, 1]
53	35	572	43	6	[9, 7]
55	20	1096	56	15	[3, 1]
2	30	2729	3	2	[3, 1]
75	0	2054	2	1	[3, 1]
7	45	72	57	1	[3, 1]
45	20	1681	39	16	[3, 1]
18	0	2438	42	25	[9, 7]
74	35	3046	39	29	[3, 1]
66	30	3296	41	33	[3, 1]
6	20	2859	53	37	[3, 1]
8	30	3074	4	3	[3, 1]
16	45	957	30	7	[9, 7]
72	35	3827	61	57	[63, 1]
37	40	2957	18	13	[9, 7]
50	30	1407	32	11	[3, 1]
53	30	960	47	11	[3, 1]
43	10	1416	55	19	[9, 7]
6	35	3813	29	27	[3, 1]
72	5	4080	1	1	[63, 1]
20	15	3112	25	19	[63, 1]
76	20	1840	49	22	[63, 1]
32	10	885	37	8	[63, 1]
58	0	1110	48	13	[63, 1]
29	40	2702	47	31	[3, 1]
72	40	2586	19	12	[9, 7]
5	40	1687	17	7	[3, 1]
39	0	2527	47	29	[3, 1]
42	30	2507	49	30	[63, 1]
22	5	3987	38	37	[3, 1]
17	15	3331	59	48	[3, 1]
10	15	2483	33	20	[3, 1]
63	0	2478	38	23	[3, 1]
41	10	3527	36	31	[63, 1]
3	20	3399	47	39	[3, 1]
41	40	833	59	12	[3, 1]
16	35	1003	49	12	[63, 1]
68	0	647	19	3	[9, 7]
60	35	2090	49	25	[63, 1]
43	45	3575	55	48	[9, 7]
66	0	3986	37	36	[63, 1]
19	35	3059	63	47	[3, 1]
17	5	3546	52	45	[3, 1]
52	35	4035	63	62	[3, 1]
20	20	2155	19	10	[9, 7]
27	0	3946	55	53	[9, 7]
0	30	1366	3	1	[3, 1]
49	15	2206	13	7	[63, 1]
64	35	118	35	1	[3, 1]
75	45	1627	63	25	[3, 1]
48	20	3540	59	51	[3, 1]
14	45	1363	3	1	[3, 1]
49	0	3728	56	51	[3, 1]
32	30	2413	56	33	[3, 1]
8	20	772	53	10	[3, 1]
